market,rarity,num,price
Yuyu-Tei,UL,PHNI-JP049,180
Yuyu-Tei,UL,PHNI-JP050,320
Yuyu-Tei,UL,PHNI-JP052,1480
Yuyu-Tei,UR,PHNI-JP024,120
Yuyu-Tei,UR,PHNI-JP037,420
Yuyu-Tei,UR,PHNI-JP038,320
Yuyu-Tei,UR,PHNI-JP042,180
Yuyu-Tei,UR,PHNI-JP045,120
Yuyu-Tei,UR,PHNI-JP047,120
Yuyu-Tei,UR,PHNI-JP049,120
Yuyu-Tei,UR,PHNI-JP050,120
Yuyu-Tei,UR,PHNI-JP052,1280
Yuyu-Tei,SR,PHNI-JP001,320
Yuyu-Tei,SR,PHNI-JP008,120
Yuyu-Tei,SR,PHNI-JP012,420
Yuyu-Tei,SR,PHNI-JP018,0
Yuyu-Tei,SR,PHNI-JP019,220
Yuyu-Tei,SR,PHNI-JP022,120
Yuyu-Tei,SR,PHNI-JP046,0
Yuyu-Tei,SR,PHNI-JP056,0
Yuyu-Tei,SR,PHNI-JP070,0
Yuyu-Tei,SR,PHNI-JP079,120
Yuyu-Tei,SR,PHNI-JP080,120
Yuyu-Tei,R,PHNI-JP003,120
Yuyu-Tei,R,PHNI-JP005,120
Yuyu-Tei,R,PHNI-JP007,50
Yuyu-Tei,R,PHNI-JP011,50
Yuyu-Tei,R,PHNI-JP013,50
Yuyu-Tei,R,PHNI-JP020,120
Yuyu-Tei,R,PHNI-JP030,80
Yuyu-Tei,R,PHNI-JP032,120
Yuyu-Tei,R,PHNI-JP039,80
Yuyu-Tei,R,PHNI-JP041,50
Yuyu-Tei,R,PHNI-JP048,50
Yuyu-Tei,R,PHNI-JP051,50
Yuyu-Tei,R,PHNI-JP054,120
Yuyu-Tei,R,PHNI-JP059,50
Yuyu-Tei,R,PHNI-JP061,80
Yuyu-Tei,R,PHNI-JP067,120
Yuyu-Tei,R,PHNI-JP068,120
Yuyu-Tei,R,PHNI-JP073,50
Yuyu-Tei,R,PHNI-JP078,120
Yuyu-Tei,NR,PHNI-JP035,180
Yuyu-Tei,NR,PHNI-JP036,80
Yuyu-Tei,NR,PHNI-JP072,120
Yuyu-Tei,N,PHNI-JP002,30
Yuyu-Tei,N,PHNI-JP004,30
Yuyu-Tei,N,PHNI-JP006,30
Yuyu-Tei,N,PHNI-JP009,30
Yuyu-Tei,N,PHNI-JP010,30
Yuyu-Tei,N,PHNI-JP014,30
Yuyu-Tei,N,PHNI-JP015,30
Yuyu-Tei,N,PHNI-JP016,30
Yuyu-Tei,N,PHNI-JP017,30
Yuyu-Tei,N,PHNI-JP021,30
Yuyu-Tei,N,PHNI-JP023,30
Yuyu-Tei,N,PHNI-JP025,30
Yuyu-Tei,N,PHNI-JP026,30
Yuyu-Tei,N,PHNI-JP027,30
Yuyu-Tei,N,PHNI-JP028,30
Yuyu-Tei,N,PHNI-JP029,30
Yuyu-Tei,N,PHNI-JP031,30
Yuyu-Tei,N,PHNI-JP033,30
Yuyu-Tei,N,PHNI-JP034,30
Yuyu-Tei,N,PHNI-JP040,30
Yuyu-Tei,N,PHNI-JP043,30
Yuyu-Tei,N,PHNI-JP044,30
Yuyu-Tei,N,PHNI-JP053,30
Yuyu-Tei,N,PHNI-JP055,30
Yuyu-Tei,N,PHNI-JP057,30
Yuyu-Tei,N,PHNI-JP058,30
Yuyu-Tei,N,PHNI-JP060,30
Yuyu-Tei,N,PHNI-JP062,80
Yuyu-Tei,N,PHNI-JP063,30
Yuyu-Tei,N,PHNI-JP064,30
Yuyu-Tei,N,PHNI-JP065,50
Yuyu-Tei,N,PHNI-JP066,30
Yuyu-Tei,N,PHNI-JP069,30
Yuyu-Tei,N,PHNI-JP071,30
Yuyu-Tei,N,PHNI-JP074,30
Yuyu-Tei,N,PHNI-JP075,30
Yuyu-Tei,N,PHNI-JP076,30
Yuyu-Tei,N,PHNI-JP077,30
